repo	module_scope	best_evidence	file_kinds	files_in_scope
cob333/Eurorack_PD_USB	.	bom-spreadsheet	bom-spreadsheet=1 gerber/zip=1 schematic-pdf/img=1	11
kweiwen/benjolin	.	bom-spreadsheet	other-pdf=4 bom-spreadsheet=1 schematic-pdf/img=1	8
LjungrennAudio/ryomodular-com-2xvcx	.	bom-spreadsheet	other-pdf=8 bom-doc=2 schematic-pdf/img=2 bom-spreadsheet=1 gerber/zip=1	22
ramphands/LinearPowerBoard	.	bom-spreadsheet	gerber/zip=9 bom-spreadsheet=1 schematic-pdf/img=1	15
yorkmodular/C7H5NO3S	.	bom-spreadsheet	bom-doc=1 bom-spreadsheet=1	3
emeb/g081_audio	.	bom-spreadsheet	kicad-sch=3 bom-spreadsheet=1 schematic-pdf/img=1	226
oamodular/uncertainty	hardware/2hp-smt-uncertainty	bom-spreadsheet	bom-spreadsheet=1	5
vult-dsp/Vult-DIY-Resources	Fuser	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1	3
vult-dsp/Vult-DIY-Resources	Vorg	bom-spreadsheet	other-pdf=1 bom-spreadsheet=1	3
vult-dsp/Vult-DIY-Resources	Wolv	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1	3
BleepSound/ms20-vcf-double	.	bom-spreadsheet	gerber/zip=27 schematic-pdf/img=2 kicad-sch=2 bom-spreadsheet=1 bom-doc=1	94
Cs4System/Eurorack	Salix/Documentaion	bom-spreadsheet	other-pdf=1 bom-spreadsheet=1 schematic-pdf/img=1	3
dslamnig/GHOQ	PLLHO	bom-spreadsheet	schematic-pdf/img=14 bom-doc=6 bom-spreadsheet=6 gerber/zip=6 other-pdf=2	83
dslamnig/GHOQ	PLLHO/board_A_build	bom-spreadsheet	bom-doc=1 bom-spreadsheet=1	6
dslamnig/GHOQ	PLLHO/board_B_build	bom-spreadsheet	bom-doc=1 bom-spreadsheet=1	4
dslamnig/GHOQ	PLLHO/board_C_build	bom-spreadsheet	bom-doc=1 bom-spreadsheet=1	4
dslamnig/GHOQ	PLLHO/board_D_build	bom-spreadsheet	bom-doc=1 bom-spreadsheet=1	5
dslamnig/GHOQ	PLLHO/board_E_build	bom-spreadsheet	bom-doc=1 bom-spreadsheet=1	4
dslamnig/GHOQ	PLLHO/module_build	bom-spreadsheet	bom-doc=1 bom-spreadsheet=1	8
environscape/ContourLine	.	bom-spreadsheet	gerber/zip=5 bom-spreadsheet=2 schematic-pdf/img=2	161
environscape/ContourLine	Hardware/v2.1 4HP	bom-spreadsheet	gerber/zip=2 bom-spreadsheet=1	5
environscape/ContourLine	Hardware/v2.2 4HP	bom-spreadsheet	gerber/zip=2 bom-spreadsheet=1	8
drChungus/VCSequentialSwitch	hardware/_archive	bom-spreadsheet	gerber/zip=24 fritzing=3 bom-doc=1 bom-spreadsheet=1	37
matthewcieplak/super-sixteen	kicad-control-board-smt/bom-onboard	bom-spreadsheet	bom-spreadsheet=1	2
rheslip/2HPico-Eurorack-Module-Hardware	.	bom-spreadsheet	gerber/zip=53 kicad-sch=8 bom-spreadsheet=4 schematic-pdf/img=3	141
bummbummgarage/bummbummgarage.github.io	modules/clock-multiplier/Rev2	bom-spreadsheet	gerber/zip=3 schematic-pdf/img=2 bom-spreadsheet=1	10
bummbummgarage/bummbummgarage.github.io	modules/envelope-follower/Rev3	bom-spreadsheet	gerber/zip=3 bom-spreadsheet=2 schematic-pdf/img=1	14
bummbummgarage/bummbummgarage.github.io	modules/envelope-follower/Rev4	bom-spreadsheet	bom-spreadsheet=2 other-pdf=2	10
bummbummgarage/bummbummgarage.github.io	modules/mixer-ii/Rev4	bom-spreadsheet	gerber/zip=3 bom-spreadsheet=2 schematic-pdf/img=1	10
bummbummgarage/bummbummgarage.github.io	modules/sequencer-ii-0.1	bom-spreadsheet	schematic-pdf/img=2 bom-spreadsheet=1	10
bummbummgarage/bummbummgarage.github.io	modules/vcf/Rev3	bom-spreadsheet	gerber/zip=3 bom-spreadsheet=2 schematic-pdf/img=1	15
bummbummgarage/bummbummgarage.github.io	modules/vcf/Rev4	bom-spreadsheet	other-pdf=3 bom-spreadsheet=2 gerber/zip=2 schematic-pdf/img=1	16
bummbummgarage/bummbummgarage.github.io	modules/voltage-controlled-envelope-generator-vceg/REV-2	bom-spreadsheet	gerber/zip=3 bom-spreadsheet=2 other-pdf=2 schematic-pdf/img=1	15
Deftaudio/Midi-boards	9V_Converter	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	10
Deftaudio/Midi-boards	CVGate_Attenuator/Basic	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	6
Deftaudio/Midi-boards	CVGate_Attenuator/with_Indicator	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	7
Deftaudio/Midi-boards	CVGate_Attenuator/with_LED_Voltmeter	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	6
Deftaudio/Midi-boards	Eurorack_Compute	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1	6
Deftaudio/Midi-boards	Eurorack_MIDIThru4_DIN	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	8
Deftaudio/Midi-boards	Eurorack_MIDIThru4_TRS	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	9
Deftaudio/Midi-boards	Eurorack_MIDI_Teensy_5x5	bom-spreadsheet	other-pdf=3 bom-spreadsheet=1 schematic-pdf/img=1	18
Deftaudio/Midi-boards	Eurorack_MidiMerge2in3out	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	11
Deftaudio/Midi-boards	Eurorack_MotorPot	bom-spreadsheet	other-pdf=2 bom-spreadsheet=1 schematic-pdf/img=1	15
Deftaudio/Midi-boards	Eurorack_RPi	bom-spreadsheet	other-pdf=4 schematic-pdf/img=2 bom-spreadsheet=1	22
Deftaudio/Midi-boards	Eurorack_SpinnerLFO	bom-spreadsheet	bom-spreadsheet=1	6
Deftaudio/Midi-boards	Eurorack_TRS-DIN5	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	8
Deftaudio/Midi-boards	Eurorack_USB-C_Power_Supply	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	15
Deftaudio/Midi-boards	Eurorack_USB_Power	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	7
Deftaudio/Midi-boards	MIDITeensy3.2	bom-spreadsheet	bom-spreadsheet=1 schematic-pdf/img=1	20
Deftaudio/Midi-boards	MIDITeensy4.0	bom-spreadsheet	bom-spreadsheet=1 schematic-pdf/img=1	15
Deftaudio/Midi-boards	MIDITeensy4.1	bom-spreadsheet	other-pdf=1 bom-spreadsheet=1 schematic-pdf/img=1	23
Deftaudio/Midi-boards	MIDI_RS232	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	18
Deftaudio/Midi-boards	MidiAnySync	bom-spreadsheet	other-pdf=1 schematic-pdf/img=1 bom-spreadsheet=1	9
Deftaudio/Midi-boards	MidiKnob	bom-spreadsheet	gerber/zip=2 bom-spreadsheet=2 schematic-pdf/img=2 other-pdf=1	85
Deftaudio/Midi-boards	MidiMerge2in5out	bom-spreadsheet	other-pdf=1 schematic-pdf/img=1 bom-spreadsheet=1	9
Deftaudio/Midi-boards	MidiThru10	bom-spreadsheet	other-pdf=1 schematic-pdf/img=1 bom-spreadsheet=1	9
Deftaudio/Midi-boards	MidiThru2in10out	bom-spreadsheet	other-pdf=1 schematic-pdf/img=1 bom-spreadsheet=1	9
Deftaudio/Midi-boards	MidiThru4	bom-spreadsheet	other-pdf=1 schematic-pdf/img=1 bom-spreadsheet=1	13
Deftaudio/Midi-boards	MidiThruWithMerge2in10out	bom-spreadsheet	other-pdf=1 schematic-pdf/img=1 bom-spreadsheet=1	10
Deftaudio/Midi-boards	TRS_DIN5_Adapter	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 schematic-pdf/img=1	11
Deftaudio/Midi-boards	Teensy_1U_MIDI_8x14	bom-spreadsheet	gerber/zip=3 other-pdf=2 bom-spreadsheet=1 schematic-pdf/img=1	37
PierreIsCoding/sdiy	Chit_Chat	bom-spreadsheet	schematic-pdf/img=1 bom-spreadsheet=1 bom-doc=1	9
PierreIsCoding/sdiy	Knock_Knock	bom-spreadsheet	bom-spreadsheet=1 schematic-pdf/img=1 bom-doc=1	18
PierreIsCoding/sdiy	Sub&Div	bom-spreadsheet	bom-spreadsheet=1 schematic-pdf/img=1 bom-doc=1	9
PierreIsCoding/sdiy	Swoop	bom-spreadsheet	bom-doc=1 other-pdf=1 bom-spreadsheet=1	5
PierreIsCoding/sdiy	VCA_Ducker	bom-spreadsheet	other-pdf=7 bom-spreadsheet=1 bom-doc=1	22
PierreIsCoding/sdiy	drumpad	bom-spreadsheet	bom-spreadsheet=1 other-pdf=1 bom-doc=1	4
tkilla64/eurorack	.	bom-spreadsheet	gerber/zip=59 schematic-pdf/img=30 bom-doc=25 other-pdf=4 bom-spreadsheet=2	275
tkilla64/eurorack	pmult	bom-spreadsheet	gerber/zip=2 bom-spreadsheet=1 schematic-pdf/img=1	6
tkilla64/eurorack	busboard	bom-spreadsheet	bom-spreadsheet=1 gerber/zip=1 schematic-pdf/img=1	5
DrJ3RK/DrJ3RK	.	bom-doc	bom-doc=26 schematic-pdf/img=25 other-pdf=10 gerber/zip=1	102
LjungrennAudio/ryomodular-com-xnor-not	.	bom-doc	other-pdf=6 bom-doc=2 schematic-pdf/img=2	15
microresearch/ERD	.	bom-doc	other-pdf=5 gerber/zip=3 eagle-sch=2 bom-doc=1	51
pingdynasty/ClockDelay	.	bom-doc	bom-doc=1 schematic-pdf/img=1	25
pingdynasty/Tonic	.	bom-doc	bom-doc=1 schematic-pdf/img=1	5
RebelTechnology/Chronos	.	bom-doc	schematic-pdf/img=2 bom-doc=1	40
SourceryOne/Arduino-Sample-and-Hold	.	bom-doc	bom-doc=1 other-pdf=1 schematic-pdf/img=1	16
SourceryOne/Beaks	.	bom-doc	bom-doc=3 gerber/zip=3 schematic-pdf/img=1	10
