k	panel	panel_basis	photos	photos_basis
1	HP ? · kicad	no measurable outline; README yash/README.md names several HP values [4, 5] - not used | panel files (1): yash/yash-panel.kicad_pcb	https://github.com/tpcarlson/synth-diy/blob/main/yash/images/yash-board.png	1 of 2 images in scope; left out: yash-panel.png
3		repo not in inventory		
5		repo not in inventory		
7				
8	6HP · gerbers	measured 30.00 x 128.50 mm outline in Cha Cha - VCLFO/Gerber Files/front_panel.zip; agrees with README Cha Cha - VCLFO/README.md (6HP) | panel files (2): Cha Cha - VCLFO/EasyEDA/panel_project.zip, Cha Cha - VCLFO/Gerber Files/front_panel.zip		0 of 1 images in scope; left out: panel_preview.png
9	12HP · gerbers	measured 60.60 x 128.50 mm outline in KRA PAO - RESONANT LOW PASS GATE/Gerber Files/faceplate.zip; agrees with README KRA PAO - RESONANT LOW PASS GATE/README.md (12HP) | panel files (2): KRA PAO - RESONANT LOW PASS GATE/EasyEDA/panel.zip, KRA PAO - RESONANT LOW PASS GATE/Gerber Files/faceplate.zip	https://github.com/musicdevghost/eurorack/blob/main/KRA%20PAO%20-%20RESONANT%20LOW%20PASS%20GATE/Images/IMG_4884.png https://github.com/musicdevghost/eurorack/blob/main/KRA%20PAO%20-%20RESONANT%20LOW%20PASS%20GATE/Images/IMG_4885.png https://github.com/musicdevghost/eurorack/blob/main/KRA%20PAO%20-%20RESONANT%20LOW%20PASS%20GATE/Images/IMG_4886.png https://github.com/musicdevghost/eurorack/blob/main/KRA%20PAO%20-%20RESONANT%20LOW%20PASS%20GATE/Images/IMG_4887.png https://github.com/musicdevghost/eurorack/blob/main/KRA%20PAO%20-%20RESONANT%20LOW%20PASS%20GATE/Images/IMG_4888.png	5 of 7 images in scope; left out: 3d_faceplate.png, real_faceplate.png
10	42HP · gerbers	measured 213.36 x 128.50 mm outline in LEO LEO - MATRIX STAGE PROGRAMMER/Gerber Files/front_panel.zip | panel files (2): LEO LEO - MATRIX STAGE PROGRAMMER/EasyEDA/panel_board_project.zip, LEO LEO - MATRIX STAGE PROGRAMMER/Gerber Files/front_panel.zip	https://github.com/musicdevghost/eurorack/blob/main/LEO%20LEO%20-%20MATRIX%20STAGE%20PROGRAMMER/Images/leo_leo_profile.jpg	1 of 2 images in scope; left out: frontpanel_preview.png
11	12HP · gerbers	measured 60.60 x 128.50 mm outline in Mak Mak - QUAD VCA-ATT-MIXER/Gerber Files/panel.zip | panel files (2): Mak Mak - QUAD VCA-ATT-MIXER/EasyEDA/panel.zip, Mak Mak - QUAD VCA-ATT-MIXER/Gerber Files/panel.zip		0 of 1 images in scope; left out: panel_overview.png
12	8HP · gerbers	measured 40.30 x 128.50 mm outline in Sigma - Function Generator/Gerber Files/front_panel.zip | panel files (2): Sigma - Function Generator/EasyEDA Files/panel_project.zip, Sigma - Function Generator/Gerber Files/front_panel.zip		0 of 1 images in scope; left out: panel_overview.png
13	12HP · gerbers	measured 60.60 x 128.50 mm outline in TOM YUM - VCO/Gerber Files/faceplate.zip; agrees with README TOM YUM - VCO/README.md (12HP) | panel files (2): TOM YUM - VCO/EasyEDA/panel.zip, TOM YUM - VCO/Gerber Files/faceplate.zip	https://github.com/musicdevghost/eurorack/blob/main/TOM%20YUM%20-%20VCO/Images/IMG_4873.png https://github.com/musicdevghost/eurorack/blob/main/TOM%20YUM%20-%20VCO/Images/IMG_4874.png https://github.com/musicdevghost/eurorack/blob/main/TOM%20YUM%20-%20VCO/Images/IMG_4875.png https://github.com/musicdevghost/eurorack/blob/main/TOM%20YUM%20-%20VCO/Images/IMG_4876.png https://github.com/musicdevghost/eurorack/blob/main/TOM%20YUM%20-%20VCO/Images/IMG_4877.png https://github.com/musicdevghost/eurorack/blob/main/TOM%20YUM%20-%20VCO/Images/IMG_4878.png	6 of 8 images in scope; left out: 3d_faceplate.png, real_faceplate.png
15				
17				0 of 1 images in scope; left out: vaclpg-rev2-schematic.png
18		repo not in inventory		
19	6HP · kicad	measured 30.00 x 128.50 mm outline in Eurorack/Front Panel/Files/Flip Front Panel.kicad_pcb; agrees with README README.md (6HP) | panel files (1): Eurorack/Front Panel/Files/Flip Front Panel.kicad_pcb	https://github.com/m0xpd/FLIP/blob/main/Eurorack/Front%20Panel/Files/Flip%20Front%20Panel.jpg https://github.com/m0xpd/FLIP/blob/main/Eurorack/Main%20Board/Files/Flip%20Main%20Board%20Unpopulated.jpg https://github.com/m0xpd/FLIP/blob/main/Eurorack/Main%20Board/Files/Flip%20Main%20Board.jpg	3 of 16 images in scope; left out: Download Instructions.png, Flip Front Perspective Right.jpg, Flip PCBs Populated Inside View.jpg, Flip PCBs Populated Outside View.jpg, Flip Sandwich Construction LoRes.jpg, Triggering at Bottom of Range.jpg
20	12HP · kicad	measured 60.60 x 128.50 mm outline in FrontPanel/encore.kicad_pcb; agrees with README README.md (12HP) | panel files (1): FrontPanel/encore.kicad_pcb		
21				
24			https://github.com/musicdevghost/eurorack/blob/main/SU%20SU%20-%20POWER%20SUPPLY/Images/3d_supply.png	1 of 1 images in scope
25				
