repo	module_scope	board_files	name_groups	guess	pooled_verdict	counted_files	superseded
AudioMorphology/waft	.	2	1	board+panel	SMD	waft.kicad_pcb, waft_frontpanel.kicad_pcb	
BelaPlatform/gliss-hardware	gliss_faceplate	4	1	board+panel	SMD	gliss_faceplate.kicad_pcb, gliss_faceplate_1U_L.kicad_pcb, gliss_faceplate_1U_R.kicad_pcb, gliss_faceplate_inverted.kicad_pcb	
Cs4System/Eurorack	Dual Ears	2	1	board+panel	SMD	dual_ears.kicad_pcb, panel.kicad_pcb	
Cs4System/Eurorack	Salix	2	1	board+panel	SMD	Salix_VCF.kicad_pcb, panel.kicad_pcb	
Cs4System/Eurorack	Transistor_Ladder_VCF	2	1	board+panel	SMD	Transistor_Ladder_VCF.kicad_pcb, panel.kicad_pcb	
Emute-Lab-Instruments/uSEQ	hardware/version0.2	2	1	board+panel	SMD	fr4panel.kicad_pcb, useq.kicad_pcb	
Nagasaki45/eurorack	I M smart	2	1	board+panel	THT	board.brd, panel.brd	
Nagasaki45/eurorack	lets play together	2	1	board+panel	THT	board.brd, panel.brd	
Quinienl/LittleBen	.	2	1	board+panel	THT	LittleBenv2.kicad_pcb, panel.kicad_pcb	
QuinnFreedman/modular	modules/Biodata	2	1	board+panel	THT	biodata_faceplate.kicad_pcb, biodata_pcb.kicad_pcb	
Schreibmaschine-Berlin/eurorack	4UBenjolin_Kicad	3	1	board+panel	THT	4UPanelGeneric.kicad_pcb, Benjolin_Kicad.kicad_pcb, Benjolin_Panel.kicad_pcb	
VoltageFoundryMod/IRONMix	.	2	1	board+panel	SMD	4HP_Front_panel.kicad_pcb, IRONMix.kicad_pcb	
attowatt/i2c2midi	hardware/hardware-MK1	2	1	board+panel	THT	i2c2midi_board.brd, i2c2midi_panel.brd	
belllabsynth/Slew-Limiter	.	2	1	board+panel	THT	Slew Limiter Board.kicad_pcb, Slew Limiter Front Panel.kicad_pcb	
bmoren/attenuated-nearness	.	2	1	board+panel	SMD	nearness_att_panel.kicad_pcb, nearness.kicad_pcb	
bummbummgarage/bummbummgarage.github.io	modules/envelope-follower/Rev3	2	1	board+panel		1-PCB_PCB.json, 2-PCB_Panel.json	
bummbummgarage/bummbummgarage.github.io	modules/envelope-follower/Rev4	2	1	board+panel		PCB.json, Panel.json	
caseyjholmes/ADSR	.	2	1	board+panel	SMD	ADSR-Panel.kicad_pcb, ADSR.kicad_pcb	
crowselectromusic/HEAR	.	2	1	board+panel	SMD	HEAR.kicad_pcb, _autosave-nearness.kicad_pcb	
ctag-fh-kiel/ctag-straempler	hardware/antumbra	2	1	board+panel	SMD	strampler_panel_v2_2.brd, Strampler_redesign_v2_2.brd	
dchwebb/DisPhaze	Hardware/bu	3	1	board+panel	SMD	DisPhaze.kicad_pcb, DisPhaze_Panel.kicad_pcb, DisPhaze_Panel_mk2.5.kicad_pcb	
dchwebb/DisPhaze	Hardware_v3	2	1	board+panel	SMD	DisPhaze_Components.kicad_pcb, DisPhaze_Panel.kicad_pcb	
dchwebb/DisPhaze	Hardware_v3.5	2	1	board+panel	SMD	DisPhaze_Components.kicad_pcb, DisPhaze_Panel.kicad_pcb	
fablabnk/HeadPho	.	2	1	board+panel	THT	Headpho.kicad_pcb, Headpho_Panel.kicad_pcb	
ishkabbible/TAM_V3	.	3	1	board+panel	SMD	active_3attMix_v3.kicad_pcb, active_3attMix_panel_v2.kicad_pcb, active_3attMix_panel_v2_1U.kicad_pcb	
jacobbarssbailey/active-multiples	.	2	1	board+panel	SMD	active-multiples.brd, panel.brd	
jeanpri/303	.	2	1	board+panel	SMD	303.kicad_pcb, Faceplate303.kicad_pcb	
kraakenstuff/ADSR	.	2	1	board+panel	SMD	ADSR-Panel.kicad_pcb, ADSR.kicad_pcb	
kraakenstuff/Skis	.	2	1	board+panel	SMD	Skis - panel.kicad_pcb, Skis.kicad_pcb	
microresearch/WORM	revival	2	1	board+panel	SMD	new_worm3.kicad_pcb, new_worm3_panel.kicad_pcb	
microresearch/allcolours	SR_segments/segments/segments_panel	3	1	board+panel	SMD	segments_for_panelNEWEST.kicad_pcb, segments_liningup.kicad_pcb, segments_panel.kicad_pcb	
microresearch/allcolours	comparator_v2	2	1	board+panel	SMD	comparator.kicad_pcb, comparator_panel.kicad_pcb	
microresearch/allcolours	touch/touch_kicad_2024/touch_panel	2	1	board+panel	SMD	panelcopyforliningupwithjacks.kicad_pcb, touch_panel.kicad_pcb	
microresearch/allcolours	touch/touch_kicad_2024/touch_panel_filter	6	1	board+panel	SMD	NEWmoontestpanelfilled..kicad_pcb, NEWtestpanelfilled..kicad_pcb, _autosave-NEWtestpanelfilled..kicad_pcb, panelcopyforliningupwithjacks.kicad_pcb, testpanelfilled..kicad_pcb, touch_panel.kicad_pcb	
microresearch/allcolours	touch/touch_kicad_late2023/touch_panel	2	1	board+panel	SMD	panelcopyforliningupwithjacks.kicad_pcb, touch_panel.kicad_pcb	
