slug	build_pdf	schematic_page
winnits	WINNITS-Build-and-BOM.pdf	3
4hpneuron	4HP-Neuron-Build-and-BOM.pdf	3
dichotomyparadox	DICHOTOMY-PARADOX-Build-and-BOM.pdf	5
burhans	BURHANS-TIMBRE-Build-and-BOM.pdf	4
7555vco	7555-VCO-Build-and-BOM-v2.pdf	4
freqy	FREQY-Build-and-BOM-txt3.pdf	7
reversesigmoid	1U-REVERSE-SIGMOID-build-and-BOM-8pte.pdf	3
epilogue	Epilogue-VCF-build-and-BOM2.pdf	3
rongmid	RONG-MID-build-and-BOM.pdf	4
serenity	HOWS-THE-SERENITY-build-and-BOM.pdf	3
shavermystery	THE-SHAVER-MYSTERY-Build-and-BOM.pdf	4
spectrumshaper	SPECTRUM-SHAPER-Build-and-BOM-V5.pdf	15
bulbousalsotapered	BULBOUS-ALSO-TAPERED-VCF-Build-and-BOM.pdf	4
fastbulbous	FAST-AND-BULBOUS-VCF-Build-and-BOM.pdf	3
pathfilter	PATH-FILTER-Build-and-BOM-etm8.pdf	4
demuxphaser	DEMUX-PHASER-Build-and-BOM.pdf	4
tinteardrop	TIN-TEARDROP-VCF-Build-and-BOM-2axx.pdf	4
immix	IMMIX-Build-and-BOM.pdf	3
googoomux	GooGooMux-Build-and-BOM.pdf	3
molrelaxsim	TRANSIENT-SIM-Build-and-BOM.pdf	4
dactrol	DACTROL-Build-and-BOM.pdf	4
coupledcomparators	COUPLED-COMPARATORS-Build-and-BOM-5nds.pdf	4
pseudo	PSEUDO-Build-and-BOM.pdf	4
phonecharger	PHONE-CHARGER-Build-and-BOM.pdf	3
comparators	COMPARATORS-Build-and-BOM.pdf	3
logorrhea	LOGORRHEA-Build-and-BOM-3dat.pdf	4
macrame	MACRAME-Build-and-BOM-l97r.pdf	4
moldyrapture	Moldy-Rapture-VCO-Build-and-BOM.pdf	4
gator	GATOR-build-and-BOM.pdf	1
sandyfreckle	Sandy-Freckle-Build-and-BOM.pdf	3
fenestrated	LETS-GET-FENESTRATED-Build-and-BOM.pdf	3
1u-xor	1U-XOR-Build-and-BOM.pdf	1
mulcho	1U-MULCHO-build-and-BOM.pdf	NO
splish	SPLISH-Build-and-BOM-ypbn.pdf	2
razors	RAZORS-Build-and-BOM.pdf	4
snakejoke	SNAKE-JOKE-Build-and-BOM.pdf	3
sittinginaroom	SITTING-IN-A-ROOM-Build-and-BOM.pdf	4
more	MORE-Build-and-BOM.pdf	3
frisson	FRISSON-Build-and-BOM.pdf	4
george	George-Build-and-BOM-m4wp.pdf	3
isolate	ISOLATE-Build-and-BOM.pdf	3
cellfvoice	cellF-Voice-PCB-Build-Guide.pdf	13
cellfaction	cellF-action-BOM-build.pdf	10
fourier	FOURIER-Build-and-BOM-glam.pdf	4
chomul	CHOMUL-Build-and-BOM-62ed.pdf	3
this2shallpass	this-2-shall-pass-build-BOM.pdf	2
mingrod	Ming-Rod-Build-and-BOM.pdf	3
valmorification	VALMORIFICATION-Build-and-BOM.pdf	4
carplust	Carp-Lust-Build-and-BOM-tcpd.pdf	5
cmosc	CMOSC-EURO-Build-and-BOM-ch7d.pdf	3
mun	MUN-Build-and-BOM-nw6d.pdf	6
letsbronzeup	BRONZE-UP-Build-and-BOM.pdf	3
tinkle	TINKLE-Build-and-BOM-5fgr.pdf	4
stochaos	STOCHAOS-Build-and-BOM.pdf	5
frolic	FROLIC-Build-and-BOM.pdf	3
fmop	FM-OP-Build-and-BOM.pdf	6
suppository	The-Suppository-of-all-Wisdom-Build-and-BOM-lr6f.pdf	4
intimacy	Intimacy-Build-and-BOM-arfw.pdf	5
beatfreqs	BEAT-FREQS-Build-and-BOM.pdf	3
encephaloadjuster	Encephalo-Adjuster-Build-and-BOM.pdf	4
1u-sloth-chaos	1u_sloth_build_and_bom.pdf	3
poultryinmotion	PinM-Build-and-BOM.pdf	7
stooges	Stooges-Build-and-BOM.pdf	4
helvetica-scenario	Helvetica-Scenario-Build-and-BOM.pdf	5
1u-signum	1u_signum_build_and_bom.pdf	2
1050mixseq	mixseq1050BuildBOM-vers1-8rsr.pdf	3
329-phase-flange	329-Phase-flange-build-and-BOM.pdf	4
product	Product-Build-and-BOM-stxa.pdf	5
bongo-fury	Bongo-Fury-Build-and-BOM.pdf	3
1u-diff-rect	1u_diff-rect_build_and_bom.pdf	2
32to1	32-build-BOM.pdf	5
bigjobs	Big-Jobs-Build-and-BOM.pdf	3
ldrama	LDRama-Build-and-BOM-w38w.pdf	5
1slashn	divide_by_n_build_and_bom.pdf	3
1u-pill	1u_pills_build_and_bom.pdf	3
asdr312	ADSR312-build-BOM.pdf	3
4hp-mix	4hp_mix_build_and_bom.pdf	4
bools	BOOLs-BOM-guide-vers1.pdf	4
bong0	bong0-build-BOM.pdf	2
balter	balter_build_and_bom.pdf	3
beat-freq	beat_freq_build_and_bom.pdf	4
4seq	4SEQ-BOM-guide-dec2023.pdf	3
8bit-cipher	8bitCipher_buildBOM-new.pdf	3
badum-tisss	BadumTisss-build-BOM.pdf	4
arseq	ARSEq-BB.pdf	3
brain-custard	BrainCustard_BuildBOM_vers1.pdf	3
bbx291	BBX291-Build-and-BOM.pdf	4
cem3340-vco	CEM3340VCO-BUILD-NOTES.pdf	4
bindubba	bindubba_sequencer_build_and_bom.pdf	3
bi-di-choppers	bi-di_choppers_build_and_bom.pdf	4
cellular-automata	Cellular-Automata-Build-and-BOM.pdf	4
dual-lfo-1	WAMOD10-dual-LFO.pdf	2
dual-ota-vco	ota-vco-build-guide.pdf	3
delay-no-more	DelayNoMore-build-notes.pdf	3
divine-cmos	DivineCMOS-Euro-Build-notes.pdf	4
doof	doof_build_bom_vers5_pcb.pdf	4
dual-lfo	dual_lfo-vco_build_and_bom.pdf	4
delay-no-more-3	delaynomore3_build_and_bom.pdf	4
