id	sheets_symbols	tally	trial_call	notes
p95	sheets=1 symbols=31	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=21 no_fp=0 unclassified=10	-> (blank)	Custom_Library:CP_Elec_18 x 21.5x10
p185	sheets=1 symbols=98	smd=2 tht_passive=17 tht_ic=1 tht_to=3 panel=14 no_fp=59 unclassified=2	-> both	(no footprint) Device:Rx32; (no footprint) Device:Cx20; (no footprint) Device:C_Polarizedx3; (no footprint) Amplifier_Operational:TL072x2
p251	sheets=1 symbols=71	smd=1 tht_passive=9 tht_ic=0 tht_to=2 panel=15 no_fp=43 unclassified=1	-> both	(no footprint) Device:Rx24; (no footprint) Device:Cx15; (no footprint) Device:C_Polarizedx2; SparkFun-Electromechanical:STOMP-SWITCH-3PDTx1
p269	sheets=1 symbols=46	smd=25 tht_passive=3 tht_ic=0 tht_to=1 panel=10 no_fp=7 unclassified=0	-> (blank)	SMD: 4ms_Resistor:R_0603x12; SMD: 4ms_Capacitor:C_0603x7; SMD: 4ms_Capacitor:C_0805x5; (no footprint) Device:C_USx2
p327	sheets=1 symbols=110	smd=0 tht_passive=2 tht_ic=0 tht_to=0 panel=24 no_fp=83 unclassified=1	-> (blank)	(no footprint) Device:Rx48; (no footprint) Device:Cx20; (no footprint) Device:D_Schottkyx9; (no footprint) Amplifier_Operational:TL074x3
p328	sheets=4 symbols=128	smd=1 tht_passive=88 tht_ic=4 tht_to=1 panel=29 no_fp=3 unclassified=2	-> both	(no footprint) Device:Cx2; SMD: Package_TO_SOT_SMD:TO-252-2x1; (no footprint) Amplifier_Operational:TL074x1; DIYSynthMNL:IDC-Header_2x08_P2.54mm_Verticalx1
p357	sheets=1 symbols=226	smd=180 tht_passive=0 tht_ic=0 tht_to=0 panel=46 no_fp=0 unclassified=0	-> SMD	SMD: Resistor_SMD:R_0402_1005Metricx110; SMD: Capacitor_SMD:C_0402_1005Metricx38; SMD: Diode_SMD:D_SOD-323x20; SMD: Package_SO:TSSOP-14_4.4x5mm_P0.65mmx8
p475	sheets=1 symbols=14	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=4 no_fp=10 unclassified=0	-> (blank)	(no footprint) Device:R_USx8; (no footprint) Amplifier_Operational:TL074x1; (no footprint) Device:C_Smallx1
p476	sheets=1 symbols=16	smd=0 tht_passive=0 tht_ic=0 tht_to=1 panel=9 no_fp=5 unclassified=1	-> (blank)	(no footprint) Device:R_USx4; (no footprint) Device:Cx1; Module:Arduino_Nanox1
p477	sheets=1 symbols=27	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=11 no_fp=16 unclassified=0	-> (blank)	(no footprint) Device:R_USx9; (no footprint) Device:Cx6; (no footprint) Amplifier_Operational:TL072x1
p478	sheets=1 symbols=23	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=6 no_fp=17 unclassified=0	-> (blank)	(no footprint) Device:R_USx9; (no footprint) Device:Dx5; (no footprint) Device:Cx2; (no footprint) Amplifier_Operational:TL072x1
p479	sheets=1 symbols=11	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=4 no_fp=7 unclassified=0	-> (blank)	(no footprint) Device:R_USx6; (no footprint) Amplifier_Operational:TL072x1
p480	sheets=1 symbols=14	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=5 no_fp=9 unclassified=0	-> (blank)	(no footprint) Device:R_USx5; (no footprint) Device:Cx3; (no footprint) Amplifier_Operational:TL072x1
p481	sheets=2 symbols=34	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=5 no_fp=29 unclassified=0	-> (blank)	(no footprint) Device:R_USx23; (no footprint) Device:C_Smallx3; (no footprint) custom_symbols:AS3340-customx2; (no footprint) Amplifier_Operational:TL074x1
p482	sheets=1 symbols=20	smd=2 tht_passive=0 tht_ic=0 tht_to=0 panel=3 no_fp=15 unclassified=0	-> (blank)	(no footprint) Device:C_Polarized_USx10; (no footprint) Device:Dx3; (no footprint) Device:R_USx2; SMD: Package_TO_SOT_SMD:SOT-89-3x2
p483	sheets=1 symbols=8	smd=2 tht_passive=0 tht_ic=0 tht_to=0 panel=3 no_fp=2 unclassified=1	-> SMD	SMD: Package_TO_SOT_SMD:SOT-23-6x1; Module:Arduino_Nanox1; (no footprint) Amplifier_Operational:TL072x1; (no footprint) Device:R_USx1
p484	sheets=1 symbols=24	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=3 no_fp=21 unclassified=0	-> (blank)	(no footprint) Device:R_USx14; (no footprint) Device:C_Smallx6; (no footprint) Amplifier_Operational:TL074x1
p485	sheets=1 symbols=12	smd=0 tht_passive=0 tht_ic=0 tht_to=2 panel=2 no_fp=8 unclassified=0	-> (blank)	(no footprint) Device:R_USx6; (no footprint) Amplifier_Operational:TL074x1; (no footprint) Device:Cx1
p534	sheets=1 symbols=7	smd=0 tht_passive=0 tht_ic=0 tht_to=0 panel=6 no_fp=0 unclassified=1	-> (blank)	Shmoergh_Custom_Footprints:Gyesznox1
