id	file	result	measured
c1	yash/images/yash-board.png	keep	n95=86 white=0.00 soft=0.108 strong=0.203
c10	LEO LEO - MATRIX STAGE PROGRAMMER/Images/leo_leo_profile.jpg	keep	n95=90 white=0.10 soft=0.067 strong=0.116
c13	TOM YUM - VCO/Images/IMG_4873.png	keep	n95=86 white=0.00 soft=0.080 strong=0.205
c13	TOM YUM - VCO/Images/IMG_4874.png	keep	n95=93 white=0.00 soft=0.071 strong=0.059
c13	TOM YUM - VCO/Images/IMG_4875.png	keep	n95=211 white=0.00 soft=0.110 strong=0.116
c13	TOM YUM - VCO/Images/IMG_4876.png	keep	n95=66 white=0.01 soft=0.119 strong=0.142
c13	TOM YUM - VCO/Images/IMG_4877.png	keep	n95=135 white=0.00 soft=0.153 strong=0.095
c13	TOM YUM - VCO/Images/IMG_4878.png	keep	n95=141 white=0.00 soft=0.151 strong=0.062
c19	Eurorack/Front Panel/Files/Flip Front Panel.jpg	keep	n95=96 white=0.00 soft=0.149 strong=0.088
c19	Eurorack/Main Board/Files/Flip Main Board Unpopulated.jpg	keep	n95=175 white=0.00 soft=0.169 strong=0.183
c19	Eurorack/Main Board/Files/Flip Main Board.jpg	keep	n95=25 white=0.81 soft=0.045 strong=0.161
c24	SU SU - POWER SUPPLY/Images/3d_supply.png	drop	flat graphic n95=20 white=0.65 soft=0.055 strong=0.084
c9	KRA PAO - RESONANT LOW PASS GATE/Images/IMG_4884.png	keep	n95=153 white=0.00 soft=0.128 strong=0.111
c9	KRA PAO - RESONANT LOW PASS GATE/Images/IMG_4885.png	keep	n95=229 white=0.00 soft=0.147 strong=0.055
c9	KRA PAO - RESONANT LOW PASS GATE/Images/IMG_4886.png	keep	n95=76 white=0.01 soft=0.136 strong=0.082
c9	KRA PAO - RESONANT LOW PASS GATE/Images/IMG_4887.png	keep	n95=121 white=0.01 soft=0.174 strong=0.117
c9	KRA PAO - RESONANT LOW PASS GATE/Images/IMG_4888.png	keep	n95=118 white=0.00 soft=0.202 strong=0.065
p01	SU SU - POWER SUPPLY/Images/3d_supply.png	drop	flat graphic n95=20 white=0.65 soft=0.055 strong=0.084
p03	pictures/addatone_back.png	keep	n95=277 white=0.00 soft=0.160 strong=0.131
p03	pictures/addatone_front.png	keep	n95=223 white=0.00 soft=0.156 strong=0.093
p04	polykit-vca-8-pcb.png	keep	n95=70 white=0.00 soft=0.089 strong=0.268
p04	polykit-vca-8.png	drop	flat graphic n95=2 white=0.92 soft=0.020 strong=0.086
p05	MiniDrumkit2/DAC.png	drop	flat graphic n95=11 white=0.86 soft=0.076 strong=0.084
p06	noodle-top_pcb.jpg	keep	n95=16 white=0.05 soft=0.029 strong=0.095
p06	noodle_bb.jpg	keep	n95=142 white=0.25 soft=0.140 strong=0.249
p06	noodle_pcb.jpg	keep	n95=296 white=0.12 soft=0.096 strong=0.241
p07	568-modular_benjolin.jpg	keep	n95=376 white=0.00 soft=0.166 strong=0.177
p07	569-modular_benjolin.jpg	keep	n95=218 white=0.01 soft=0.130 strong=0.161
p09	adder-front.JPG	keep	n95=43 white=0.39 soft=0.031 strong=0.092
p09	adder-side.JPG	keep	n95=83 white=0.23 soft=0.081 strong=0.079
p1056	HowItLooks.jpg	keep	n95=328 white=0.07 soft=0.162 strong=0.138
p1086	Development/Eurorack Set 9/FrontPanels/a.jpg	keep	n95=63 white=0.15 soft=0.040 strong=0.108
p1093	Eurorack_Ammeter/Ammeter_back.jpg	keep	n95=44 white=0.00 soft=0.042 strong=0.041
p1093	Eurorack_Ammeter/Ammeter_back2.jpg	keep	n95=39 white=0.00 soft=0.039 strong=0.042
p1093	Eurorack_Ammeter/Ammeter_front.jpg	keep	n95=29 white=0.07 soft=0.034 strong=0.057
p1093	Eurorack_Ammeter/Ammeter_front2.jpg	keep	n95=27 white=0.00 soft=0.031 strong=0.063
p1093	Eurorack_Ammeter/Ammeter_rack.jpg	keep	n95=153 white=0.00 soft=0.135 strong=0.099
p1093	Eurorack_Ammeter/Ammeter_rack2.jpg	keep	n95=148 white=0.00 soft=0.122 strong=0.125
p1093	Eurorack_Ammeter/Ammeter_side.jpg	keep	n95=34 white=0.00 soft=0.046 strong=0.042
p1093	Eurorack_Ammeter/Ammeter_side2.jpg	keep	n95=30 white=0.00 soft=0.042 strong=0.065
p1094	Eurorack_MIDI-BLE_2x2/Eurorack_MIDI-BLE_2x2_back.jpg	keep	n95=31 white=0.00 soft=0.032 strong=0.044
p1094	Eurorack_MIDI-BLE_2x2/Eurorack_MIDI-BLE_2x2_front.jpg	keep	n95=10 white=0.00 soft=0.007 strong=0.026
p1094	Eurorack_MIDI-BLE_2x2/Eurorack_MIDI-BLE_2x2_side.jpg	keep	n95=24 white=0.00 soft=0.023 strong=0.044
p1097	3340 VCO (4HP)/VCO3340_1.jpg	keep	n95=96 white=0.01 soft=0.062 strong=0.032
p1097	3340 VCO (4HP)/VCO3340_2.jpg	keep	n95=152 white=0.00 soft=0.197 strong=0.054
p1098	ADSR (4HP)/ADSR1.jpg	keep	n95=112 white=0.00 soft=0.134 strong=0.034
p1098	ADSR (4HP)/ADSR2.jpg	keep	n95=217 white=0.00 soft=0.181 strong=0.057
p1098	ADSR (4HP)/ADSR3.jpg	keep	n95=146 white=0.05 soft=0.130 strong=0.051
p1099	DUAL VCA/Dualvca.jpg	keep	n95=200 white=0.03 soft=0.256 strong=0.109
p11	hardware/mainboard/gemini.png	drop	mostly transparent (artwork/icon) n95=1 white=0.00 soft=0.005 strong=0.020
p11	user_guide/docs/images/ramp-correct.png	drop	flat graphic n95=7 white=0.00 soft=0.021 strong=0.100
p11	user_guide/docs/images/ramp-distorted.png	drop	flat graphic n95=7 white=0.00 soft=0.021 strong=0.102
p1100	0HP STUFF/0HP Attenuator/att0hp.jpg	keep	n95=84 white=0.01 soft=0.234 strong=0.071
p1101	0HP STUFF/0HP MIXER/0HPMix_Render.jpg	keep	n95=26 white=0.11 soft=0.051 strong=0.083
p1101	0HP STUFF/0HP MIXER/0hpMixer.jpg	keep	n95=88 white=0.02 soft=0.156 strong=0.066
p1102	0HP STUFF/0HP MULTIPLE/0hpMulti1.jpg	keep	n95=59 white=0.00 soft=0.153 strong=0.045
p1102	0HP STUFF/0HP MULTIPLE/0hpMulti2.jpg	keep	n95=87 white=0.01 soft=0.164 strong=0.051
p1104	Sluisbrinkie Kepler/Photo's/20240104_133151.jpg	keep	n95=117 white=0.00 soft=0.271 strong=0.121
p1104	Sluisbrinkie Kepler/Photo's/20240104_133254.jpg	keep	n95=103 white=0.01 soft=0.296 strong=0.090
p1104	Sluisbrinkie Kepler/Photo's/20240104_133423.jpg	keep	n95=94 white=0.00 soft=0.302 strong=0.070
p1104	Sluisbrinkie Kepler/Photo's/20240104_133646.jpg	keep	n95=194 white=0.05 soft=0.174 strong=0.057
p1104	Sluisbrinkie Kepler/Photo's/20240104_133847.jpg	keep	n95=175 white=0.00 soft=0.274 strong=0.058
p115	src/tiefpass/tiefpass.png	drop	flat graphic n95=11 white=0.00 soft=0.055 strong=0.177
p116	axon.jpg	keep	n95=108 white=0.00 soft=0.233 strong=0.079
p117	synapse.jpg	keep	n95=120 white=0.00 soft=0.200 strong=0.080
p13	ansible.jpg	keep	n95=12 white=0.47 soft=0.017 strong=0.025
p171	16nx.png	keep	n95=83 white=0.00 soft=0.071 strong=0.081
p174	bounce-alone.jpg	keep	n95=81 white=0.00 soft=0.069 strong=0.117
p174	bounce-plus-triggers.JPG	keep	n95=72 white=0.00 soft=0.076 strong=0.183
p174	bounce-sequencer.JPG	keep	n95=81 white=0.00 soft=0.069 strong=0.117
p174	buttons-complete.jpg	keep	n95=97 white=0.03 soft=0.053 strong=0.139
p174	buttons-frontboard.jpg	keep	n95=52 white=0.01 soft=0.061 strong=0.133
p174	buttons-panel.jpg	keep	n95=73 white=0.06 soft=0.063 strong=0.128
