tier	repo	module_dir	dirs_in_repo	boards	status
1	16n-faderbank/16nx	.	1	1	done
1	4ms/DLD	.	1	0	done
1	4ms/SMR	.	1	1	done
1	508-loop-detected/bounce-sequencer	.	1	0	done
1	508-loop-detected/burst	.	1	0	done
1	508-loop-detected/minibounce	.	1	0	done
1	508-loop-detected/nverb	.	1	0	done
1	508-loop-detected/precision-adder	.	1	0	done
1	508-loop-detected/quant	.	1	0	done
1	abluenautilus/Tap-O-Matic-DDV	.	1	1	done
1	Allen-Synthesis/Kompari	.	1	1	done
1	atoav/TH-VCO1	.	1	2	done
1	AudioMorphology/Europi	.	1	4	done
1	AudioMorphology/waft	.	1	1	done
1	backtail/6hp-psu	KiCad_Project	1	1	done
1	backtail/mHz-oscillator	KiCad_Project	1	1	done
1	backtail/strg-m	KiCad_Project	1	1	done
1	barnabywalters/Schraeg	Schraeg	1	1	done
1	BastianSPCTRL/COEUR	.	1	0	done
1	bastl-instruments/bastlSchematics	.	1	4	done
1	bastl-instruments/citadel	.	1	0	done
1	belllabsynth/Slew-Limiter	.	1	1	done
1	beLow-Industries/mod-mosfet	.	1	0	done
1	bmoren/attenuated-nearness	.	1	1	done
1	bpcmusic/TXb	.	1	1	done
1	breakfastelectroacoustics/basic-bipolar-input-eurorack-power-supply	.	1	1	done
1	breakfastelectroacoustics/basic-eurorack-power-supply	.	1	1	done
1	butchwarns/Eurorack_Bus_Board	.	1	1	done
1	caseyjholmes/ADSR	.	1	1	done
1	caseyjholmes/ATMX	.	1	1	done
1	caseyjholmes/HMLFO	.	1	1	done
1	caseyjholmes/HMPLPGVCA	.	1	1	done
1	caseyjholmes/MMPV3	.	1	1	done
1	cctvfm/cascadence	.	1	1	done
1	cctvfm/quadtec101	.	1	1	done
1	chairaudio/ILSE	.	1	2	done
1	charonme/heptaphasis	.	1	1	done
1	cob333/Eurorack_PD_USB	.	1	0	done
1	coredon17/Octofex	GIT	1	1	done
1	crowselectromusic/HEAR	.	1	2	done
1	cslammy/CP3	.	1	0	done
1	ctag-fh-kiel/ctag-straempler	hardware/antumbra	1	1	done
1	DatanoiseTV/USB-C-Eurorack-PSU	.	1	0	done
1	dchwebb/Ampelope	.	1	3	done
1	DenBelmans/Eurorack-Dual-VCA	.	1	2	done
1	DIYSynthMNL/Eurorack-PT2399-Delay	.	1	1	done
1	drahosj/VCO-1	.	1	1	done
1	DrJ3RK/DrJ3RK	.	1	0	done
1	erica-synths/diy-eurorack	.	1	0	done
1	fablabnk/EuroTubeScreamer	EuroTubeScreamer	1	1	done
1	fablabnk/HeadPho	.	1	1	done
1	fancyyyyy/kid	.	1	1	done
1	Fihdi/BIPO	.	1	1	done
1	Fihdi/DICE	.	1	1	done
1	Fihdi/MiniDrumkit	MiniDrumkit2	1	1	done
1	Fihdi/SCULPT	.	1	1	done
1	Fihdi/SVF12	.	1	1	done
1	Fihdi/UNO	.	1	1	done
1	Fihdi/VCAR	.	1	1	done
1	Floating-Knobs/Cuisine_Hardware	.	1	0	done
1	gerb-ster/Vulcan-DCO	.	1	2	done
1	GroundGrown/eurorack-modules	.	1	39	done
1	ishkabbible/TAM_V3	.	1	1	done
1	jacobbarssbailey/active-multiples	.	1	1	done
1	jakplugg/Neutron-Sound-Dust-of-Time	.	1	0	done
1	jakplugg/Neutron_Sound_build_docs	.	1	0	done
1	jeanpri/303	.	1	1	done
1	joranvg/test-3	.	1	0	done
1	jortigoso/output_1	.	1	0	done
1	josbouten/Fold-O-Matic	.	1	1	done
1	josbouten/Ratchet-O-Matic	.	1	0	done
1	josbouten/Stomp-Box-Adapt-O-Matic	.	1	0	done
1	KittenVillage/Benjolin	.	1	4	done
1	kraakenstuff/ADSR	.	1	1	done
1	kraakenstuff/PSU	.	1	2	done
1	kraakenstuff/PSU-1.5A	.	1	2	done
1	kraakenstuff/Skis	.	1	1	done
1	kstammits/Shady	.	1	1	done
1	kweiwen/benjolin	.	1	0	done
1	kweiwen/thinks	.	1	1	done
1	L71/small_projects	.	1	12	done
1	L71/VCLFO	.	1	2	done
1	lipsumar/just-between-us	.	1	0	done
1	LjungrennAudio/ryomodular-com-2xvcx	.	1	0	done
1	LjungrennAudio/ryomodular-com-xnor-not	.	1	0	done
1	loglow/uBraids_SE	.	1	3	done
1	loglow/uClouds_SE	.	1	4	done
1	loglow/uo_C_SE	.	1	3	done
1	loglow/uPlaits_SE	.	1	3	done
1	loglow/uRings_SE	.	1	3	done
1	lonesoulsurfer/Delay_Modular_Synth	Front Panel Design/Kicad - Ekoplasm Arduino 2/Ekoplasm	1	1	skip
1	m0xpd/encore	.	1	4	curated
1	m0xpd/STRACHEY	.	1	2	done
1	M4ngu/Sweet-Sixteen	.	1	1	done
1	martinheterjag/v8_engine	.	1	1	done
1	mattb/teensy-cv	.	1	1	done
1	Mental-Noise/Axon	.	1	0	done
1	Mental-Noise/Synapse	.	1	0	done
1	Mental-Noise/Thal	.	1	0	done
1	mesotokyo/cheap-power-board	.	1	1	done
1	MichiganSynthWorks/Euro-Modules	2HP2CV	1	1	done
1	microresearch/ERD	.	1	7	done
1	microresearch/gamma	.	1	2	done
1	MidiverseModular/MVM006_LFO	.	1	0	done
1	MidiverseModular/MVM025_DiodeFilter	.	1	0	done
1	minisystem/860	.	1	5	done
1	minisystem/JOVE	.	1	1	done
1	minisystem/VXO-PSU	.	1	1	done
1	mohoyt/as3340_vco	.	1	1	done
1	monome/ansible-hardware	.	1	2	done
1	monome/teletype-hardware	.	1	2	done
1	moPsy-project/div	.	1	3	done
1	mxmxmx/3HP_dual_OA	.	1	0	done
1	mxmxmx/CV2Midi	.	1	0	done
1	mxmxmx/terminal_tedium	.	1	0	done
1	mysticcircuits/ANA2	.	1	1	done
1	mysticcircuits/TREE	.	1	1	done
1	mysticcircuits/Vert	.	1	1	done
1	mzourack/QUAAD	.	1	1	done
1	newdigate/teensy-eurorack	.	1	3	done
1	oamodular/time-machine	.	1	0	done
1	odeliy/schema-cave	.	1	0	done
1	pingdynasty/ClockDelay	.	1	0	done
1	pingdynasty/Mix	.	1	0	done
1	pingdynasty/Tonic	.	1	0	done
1	pixiemars/GMSNPure	.	1	0	done
1	poetaster/candelabra	.	1	2	done
1	poetaster/HAGIWO_arduino_oscillator	.	1	2	done
1	poetaster/noodle	.	1	2	done
1	poetaster/portcullis	.	1	2	done
1	polykit/eurorack-psu	.	1	1	done
1	polykit/pico-dco	.	1	1	done
1	polykit/vca-8	.	1	1	done
1	polykit/vco-1	.	1	1	done
1	ramphands/Exits	.	1	4	done
1	ramphands/LinearPowerBoard	.	1	0	done
1	raphschwarz/Circuit-Abbey-G8-DIY-EDIT	.	1	2	done
1	RebelTechnology/Chronos	.	1	0	done
1	reidevries/optofilter	.	1	2	done
1	reidevries/shiitakevm	.	1	1	done
1	samjkent/modular-mixer	.	1	0	done
1	scanner-darkly/two-one	tgo core	1	0	todo
1	seismicindustries/IPS2	.	1	1	done
1	shaduzlabs/pink-0	.	1	1	done
1	shannon-greenlight/Melper	.	1	1	done
1	shorepine/tulipcc	.	1	9	todo
1	SonicPotions/Penrose	.	1	0	skip
1	sonocircuit/EXIST-RIP	EXIST-EAGLE FILES	1	3	done
1	soundslikefrank/grow	.	1	1	done
1	SourceryOne/Arduino-Sample-and-Hold	.	1	0	done
1	SourceryOne/Beaks	.	1	0	done
1	SourceryOne/Grenar	.	1	0	done
1	spherical-sound-society/vortex-generator	.	1	0	done
1	StudioKAT/PassiveLPG1U	v1.0	1	1	done
1	StudioKAT/VintageDualVCA	v1.0	1	1	done
1	Synthrotek/ADSR	.	1	0	done
1	terrabite3/BB8	.	1	0	done
1	Testbild-synth/HAGIWO-005-Eurorack-sequencer	.	1	2	done
1	Testbild-synth/HAGIWO-029-033-Eurorack-quantizer	.	1	2	done
1	Testbild-synth/Hagiwo_009_030_sequencer	.	1	2	done
1	Testbild-synth/headphone	.	1	0	done
1	Testbild-synth/sigma-squared	.	1	0	done
1	thismatters/EurorackClockDiv2	.	1	1	done
1	thismatters/EurorackGateDelay	.	1	1	curated
1	thismatters/EurorackTuringMachine	.	1	1	done
1	TimoRozendal/time-machine	.	1	0	done
1	todbot/TrinketTouringMachine	.	1	6	done
1	TOILmodular/EurorackVCPanner	.	1	0	done
1	TOILmodular/Plaits	.	1	0	done
1	TOILmodular/RAT	.	1	0	done
1	TOILmodular/TidesV2	.	1	0	done
1	TomWhitwell/Workshop_Computer	.	1	0	done
1	triglav-modular/208_Timbre_Workshop	.	1	1	done
1	triglav-modular/Voltage_Processor	.	1	1	skip
1	VikingCube/VC-PCB-Midi	.	1	1	done
1	VoltageFoundryMod/ForgeSeries	.	1	0	todo
1	VoltageFoundryMod/ForgeSeries-Hardware	.	1	13	skip
1	westlicht/performer-hardware	.	1	1	done
1	whimsicalraps/RIP_DIY	.	1	2	done
1	WimOliphant/bergman-kassutronics-adsr-kicad-gerber	.	1	1	done
1	WimOliphant/tb303_vcf_kicad_project_gerbers	.	1	1	done
1	Yorams/performancevco	.	1	1	done
1	yorkmodular-cc/resonant-filters	.	1	3	done
1	yorkmodular/C7H5NO3S	.	1	0	done
1	yorkmodular/vaclpg-rev2	.	1	0	curated
1	yorkmodular/yavcf	.	1	0	done
2	4ms/pcb-RCD-SCM-clocker	pcb-v1.0.4-kit/gEDA	2	1	skip
2	4ms/pcb-RCD-SCM-clocker	pcb-v1.2	2	1	done
2	4ms/QPLFO-v22	.	3	1	skip
2	4ms/QPLFO-v22	hardware/kicad v4	3	1	skip
2	4ms/QPLFO-v22	hardware/kicad v5	3	1	done
2	4ms/STS	.	2	0	done
2	4ms/STS	hardware/Kicad-6-project	2	0	skip
2	4ms/SWN	.	2	1	skip
2	4ms/SWN	hardware/Kicad project/SWN v1.1	2	1	done
2	AfterLaterAudio/Eurorack	Baker	3	1	done
2	AfterLaterAudio/Eurorack	Popple	3	1	done
2	AfterLaterAudio/Eurorack	Rainier	3	1	done
2	Allen-Synthesis/EuroPi	.	3	3	skip
2	Allen-Synthesis/EuroPi	hardware/surface-mount	3	1	done
2	Allen-Synthesis/EuroPi	hardware/through-hole	3	2	done
2	Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C	2	1	done
2	Andreas-Dorfner/Powerline-USB-C	Powerline-USB-C-Frontpanel	2	0	skip
2	attowatt/i2c2midi	hardware/hardware-MK1	2	1	skip
2	attowatt/i2c2midi	hardware/hardware-MK2	2	3	done
2	bartinstruments/open-source	DUAL SSI2130 VCO CORE	2	1	skip
2	bartinstruments/open-source	MATRIX MIXER	2	1	done
2	bastl-instruments/kastle2	.	2	0	skip
2	bastl-instruments/kastle2	case/top-panel	2	0	skip
2	BelaPlatform/gliss-hardware	gliss_faceplate	3	0	skip
2	BelaPlatform/gliss-hardware	gliss_led	3	1	skip
2	BelaPlatform/gliss-hardware	gliss_main	3	1	done
2	benjiaomodular/MiniSNH	MiniSNH v1.0	5	2	skip
2	benjiaomodular/MiniSNH	MiniSNH v1.0/Inkscape Panel	5	2	skip
2	benjiaomodular/MiniSNH	MiniSNH v1.1	5	4	done
2	benjiaomodular/MiniSNH	MiniSNH v1.1/Fabrication	5	2	done
2	benjiaomodular/MiniSNH	MiniSNH v1.1/Inkscape Panel	5	1	done
