repo	bucket	reason	eda_kinds	module_dirs	description
PaulStoffregen/O_C_T41	IN	design files present	kicad	9	Ornament and Crime Optimized With Teensy 4.1
newdigate/eurorack-awesome	OUT	link list, no design files		0	awesome eurorack diy and opensource
VoltageFoundryMod/ForgeSeries-CLK	REVIEW	hardware present only as archives or documents - needs a look		0	Eurorack collection of modules
raphschwarz/Circuit-Abbey-G8-DIY-EDIT	IN	design files present	eagle	1	diy edit for Circuit Abbey G8 clock divider eurorack module
drChungus/VCSequentialSwitch	IN	design files present	eagle,fritzing	12	Simple Sequential Switch for Eurorack Format
belllabsynth/Slew-Limiter	IN	design files present	kicad	1	A KiCad project for a eurorack slew limiter module
TOILmodular/Plaits	IN	design files present		1	Mutable Instruments Plaits DIY Clone
Cs4System/Eurorack	IN	design files present	kicad	9	Blattwerk Eurorack modules. Designed by Lorenz Neumann
mattb/teensy-cv	IN	design files present	eagle	1	An opamp board to scale Eurorack control voltages into and out of ranges compatible with a Teensy MCU board
apfaudio/eurorack-pmod-usb-soundcard	OUT	firmware/software only, no design files		0	Example of using a eurorack-pmod as an 8-channel (4in + 4out) USB sound card, based on the LUNA project.
supersynthesis/eurorack	IN	design files present	diptrace	22	Schematics of Super Synthesis production modules
Allen-Synthesis/EuroPi	IN	design files present	kicad,geda,diylc	3	EuroPi: A reprogrammable Eurorack module based on the Raspberry Pi Pico
Mental-Noise/Axon	REVIEW	hardware present only as archives or documents - needs a look		0	Arduino based MIDI to CV Eurorack Module
Mental-Noise/Synapse	REVIEW	hardware present only as archives or documents - needs a look		0	Arduino based CV to MIDI Eurorack module to control external instrument through MIDI
SonicPotions/Penrose	IN	user: schematic hosted off-GitHub at https://www.sonic-potions.com/public/PenroseQuantizerSchematic.pdf (product page https://www.sonic-potions.com/penrose); repo holds firmware + panel drawing		0	Penrose eurorack Quantizer
wntrblm/Sol	IN	design files present	kicad	6	An open-source MIDI-to-CV Eurorack module that runs CircuitPython
odeliy/noise-reap	IN	design files present	kicad	11	NONE
westlicht/performer	REVIEW	hardware present only as archives or documents - needs a look		0	PER|FORMER Eurorack Sequencer
tkilla64/eurorack	IN	design files present		29	Eurorack DIY projects
monome/teletype-hardware	IN	design files present	eagle	1	NONE
Shayshez/EuroScope	IN	design files present	eagle	4	EuroScope MK2 - DSO150 - Eurorack Conversion Kit
musicdevghost/eurorack	IN	design files present	easyeda	7	DIY Eurorack Modules
wntrblm/Helium	IN	design files present	kicad	3	Helium is a triple 1-to-3 precision buffered multiple and 3-to-1 precision adder
recursinging/kxmx_bluemchen	OUT	firmware/software only, no design files		0	A 4hp Eurorack module built on the Electrosmith Daisy Seed
jakplugg/Orgone-accumulator	IN	design files present	diptrace	2	The Neutron sound orgone accumulator code for DIY and Reatail modules.
jakplugg/Neutron-Sound-Dust-of-Time	IN	design files present	diptrace	1	firmware and SD files for Dust of Time Oscillator.
ohmtech-rdi/eurorack-blocks	REVIEW	framework that GENERATES hardware from C++/Faust; dirs are samples/boards, not shipped modules	kicad	81	Software to Hardware Prototyping for Eurorack using C++, Max/Gen~ or Faust
TOILmodular/RAT	IN	design files present		1	A dual Eurorack distortion module based on the RAT distortion guitar pedal
mzuelch/CATs-Eurosynth	IN	design files present	kicad	39	Analog Synth Eurorack Modules
TOILmodular/TidesV2	IN	design files present		1	Eurorack DIY Clone of Mutable Instruments Tides Version 2018
Deftaudio/Midi-boards	IN	design files present	kicad	32	MIDI projects, thru boxes, mergers, sync
QuinnFreedman/modular	IN	design files present	kicad	13	A collection of free & open source DIY synthesizer module designs for Eurorack
loglow/Tall-Dog-Public	REVIEW	hardware present only as archives or documents - needs a look		0	This is the public repository for Tall Dog Electronics.
ramphands/LinearPowerBoard	IN	design files present		1	Board to take the input of two 15v SMPS PSUs and output a precise, regulated +/-12v
seismicindustries/IPS2	IN	design files present	kicad	1	interruptible power supply - version 2 with usbC and more mmpfh (700mA@12V / 500mA@-12V)
PoloAudiovisual/Quatro	IN	design files present		2	QUATRO is a quad VCA and mixer based on Veils, by Mutable Instruments. Original design by Emilie Gillet - CC BY-SA 3.0. Through-hole remix by Kevin Olivella.
bastl-instruments/bastlSchematics	IN	design files present	eagle	1	Archive of legacy Bastl's HW design schematics in one place.
jakplugg/Neutron_Sound_build_docs	IN	design files present		1	Neutron Sounds DIY Docs
mysticcircuits/ANA2	IN	design files present	diptrace	1	This is the updated version of our ANA analog logic module
mysticcircuits/TREE	IN	design files present	diptrace	0	Advanced Sequential Switch for Eurorack
TOILmodular/EurorackVCPanner	IN	design files present		1	A voltage-controlled Eurorack panning module
SourceryOne/Grenar	IN	design files present		1	A DIY Throughhole variant of the Mutable Instruments Branches
SourceryOne/Beaks	IN	design files present		1	PCBs and panels for A Mutable Instruments Peaks clone built with code from $peaks
pichenettes/eurorack	IN	design files present	eagle	27	Eurorack modules
jacobbarssbailey/active-multiples	IN	design files present	eagle	1	5HP Eurorack-format Dual 1-3 Active Buffer
kweiwen/benjolin	IN	design files present		1	Rob Hordijk's Benjolin in the Eurorack format.
kweiwen/thinks	IN	design files present	eagle	1	through hole version of mutable instruments links
matthewcieplak/super-sixteen	IN	design files present	kicad	7	Code and schematics for the Super Sixteen Eurorack sequencer
newdigate/teensy-eurorack	IN	design files present	kicad	1	Hardware Design: Eurorack shield for teensy 4.1 with 14 in / 16 out analog channels
backtail/strg-m	IN	design files present	kicad	1	3 HP control voltage attenuator and clipper with offset
BleepSound/ms20-vcf-double	IN	design files present	kicad	7	MS20-VCF clone based on BartonSynth version.
ThisIsNotRocketScience/Eurorack-Modules	IN	design files present	kicad,eagle,diptrace	55	This is not Rocket Science presents: Eurorack modular synthesizer modules!
L71/VCLFO	IN	design files present	eagle	1	LFO/Oscillator with voltage control.
L71/small_projects	IN	design files present	eagle	1	Misc smaller projects
Thorinair/Avalon-Harmonics	IN	design files present	kicad	20	A collection of Avalon Harmonics branded synthesizer modules.
nanassound/eurorack-nanassound	IN	design files present	kicad	6	Eurorack modules of Nanas Sound
vult-dsp/Vult-DIY-Resources	IN	design files present		3	Here you can find all the resources related to Vult DIY projects
golkit1/Stripboard-Layouts	DEFERRED	user: set aside for a later pass - an entire repo of stripboard layouts drawn from other people's schematics; each needs original-designer lineage and a dedupe against existing rows	diylc	1	Stripboard layouts for modular synthesizer schematics
4ms/minipeg	OUT	firmware/software only, no design files		0	Firmware for the MiniPEG Eurorack module
lipsumar/just-between-us	IN	design files present	kicad	1	A eurorack clock module heavily inspired by Pam's New Workout
ctag-fh-kiel/ctag-tbd	IN	design files present	kicad	2	CTAG TBD >>to be determined<< an extendible open source Eurorack sound module
triglav-modular/Voltage_Processor	IN	design files present	kicad	1	Eurorack voltage processor / ring modulator inspired by the Buchla 257.
triglav-modular/208_Timbre_Workshop	IN	design files present	kicad	1	NONE
kraakenstuff/Skis	IN	design files present	kicad	1	The SMD, 6HP version of Bastl Skis. Includes sliders :)
kraakenstuff/PSU	IN	design files present	kicad	1	Eurorack linear PSU
kraakenstuff/ADSR	IN	design files present	kicad	1	2HP ADSR module based on 'Fastest Envelope in the West' by Rene Schmitz
kraakenstuff/PSU-1.5A	IN	design files present	kicad	1	Small Eurorack PSU and bus board based on Meanwell RDDW20F-12
promesoft/KicadJE_MoogVCF	IN	design files present	kicad	4	3 yusynth implementations - MoogVCF - WaveFolder - 555 ADSR
johannesstrueber/dots	IN	design files present	kicad	2	DOTS eurorack module pcb schematics and code ATMega328 based
dchwebb/Oscar	IN	design files present	kicad	7	Eurorack 3 Channel Oscilloscope based on ARM STM32F446 MCU
environscape/ContourLine	IN	design files present		3	An Arduino-Mozzi library based VCO Modular for Eurorack
maasijam/MONOFA	IN	design files present		3	A Norns for Eurorack
MichiganSynthWorks/Euro-Modules	IN	design files present	eagle	1	Various Euro Module Projects
spherical-sound-society/vortex-generator	IN	design files present		1	NONE
squaresolid/benjolin_gorga	IN	design files present	kicad	4	A eurorack version 1.6 of Rob Hordijk's Benjolin with 100mm x 78mm PCB
cslammy/CP3	IN	design files present		1	CP3 Eurorack Clone-gerbers, BOM, drawings, Eagle Files etc.
benjiaomodular/EuroPanelMaker	OUT	case/panel/rail generator - out of scope per conventions		0	Generate Eurorack panels using OpenSCAD
benjiaomodular/EuroRailMaker	OUT	case/panel/rail generator - out of scope per conventions		0	A library for making custom length Eurorack rails in OpenSCAD
benjiaomodular/MiniSNH	IN	design files present	kicad	5	A sample-and-hold module for Eurorack
oamodular/time-machine	IN	design files present		1	NONE
DrJ3RK/DrJ3RK	IN	design files present		1	Config files for my GitHub profile.
neutral-labs/pip	OUT	firmware/software only, no design files		0	NONE
Quinienl/Basic-Modules	IN	design files present	kicad	4	NONE
Quinienl/LittleBen	IN	design files present	kicad	3	LittleBen eurorack master clock
little-scale/eurorack	IN	design files present	eagle	8	Eurorack Projects
nickajeglin/Eurorack-pcbs	IN	design files present	kicad	9	A collection of easy to solder DIY eurorack PCB's
bastl-instruments/eurorack	OUT	firmware/software only, no design files		0	Legacy Eurorack projects' code archive.
shannon-greenlight/bonkulator	IN	design files present	kicad	5	Multifunction Eurorack Module
shannon-greenlight/Melper	IN	design files present	kicad	1	Converts Moog case into powered Eurorack
Syntonie/documentation	DEFERRED	user: primarily video modules - set aside for later; a later pass would pick out any non-video audio modules. Evidence so far: TEA5114 video splitter, LM1881 sync separator in CBV002 BOM, CBV001/CBV002 standalone with own PSU. Licence CC BY-SA 4.0 (CBV001 README)	diptrace	35	NONE
MartijnVerhallen/Audio-Documentation	OUT	no qualifying modules. Of 10 projects only two have a schematic in the repo, and both are out: Busboy 9000 (user: a video synth module) and Datura Nebula (user: standalone synth, not eurorack). The other 8 have BOMs/build guides only (user rule: include only with a schematic in the repo)		0	Documentation for audio projects
MartijnVerhallen/Video-Documentation	OUT	user: video-synth modules are out of scope		0	Documentation for video projects
butchwarns/Eurorack_Bus_Board	IN	design files present	kicad	1	A simple but versatile bus board for modular synthesizers in the Eurorack format. Cheap and easy to build and with many slots for connecting modules with both 10-pin and 16-pin connectors.
charonme/heptaphasis	IN	design files present	eagle	1	7-phase quadrature sine LFO for eurorack
vaeinoe/moraydular	IN	design files present	diptrace	4	Modular synthesizer related circuit board designs.
SourceryOne/Arduino-Sample-and-Hold	IN	design files present		1	S|TH is a simple arduino based Sample (or Track) and Hold with a bunch of nifty features. Built with Port manipulation to support 10 bit output for 1023 step resolution.
AfterLaterAudio/Eurorack	IN	design files present	diptrace	3	Eurorack modules from After Later Audio
westlicht/performer-hardware	IN	design files present	kicad	1	PERFORMER Eurorack Sequencer - Hardware Design Files
OmsInSerial/Eurorack	REVIEW	hardware present only as archives or documents - needs a look		0	NONE
jakplugg/utidesII	IN	design files present	diptrace	3	8hp version of Tides II
TimoRozendal/time-machine	IN	design files present		1	Repository for Timo Rozendal's version of the OAM Time Machine + expander
mysticcircuits/Vert	IN	design files present	eagle	1	files for the Vert Eurorack module by Mystic Circuits.
caseyjholmes/ATMX	IN	design files present	eagle	1	4HP Eurorack Attenumixer/multiple
caseyjholmes/ADSR	IN	design files present	kicad	1	"2HP ADSR module based on ""Fastest Envelope in the West"" by Rene Schmitz"
mzourack/QUAAD	IN	design files present	kicad	1	quad 4-step Eurorack CV sequencer
vauxflores/Electronics	IN	design files present	eagle	33	NONE
pingdynasty/Tonic	IN	design files present		1	Tonic is a Eurorack synthesizer module from Rebel Technology. It's an additive interval sequencer.
pingdynasty/ClockDelay	IN	design files present		1	Source code and schematics for the Rebel Technology Clock Divider, Counter and Delay: Logoi
polykit/vca-8	IN	design files present	kicad	1	Schematics and layout for 8 VCAs on one PCB
polykit/vco-1	IN	design files present	eagle	1	PCB and schematics for a voltage controlled oscillator (VCO) based on the Jupiter 8.
gerb-ster/Vulcan-DCO	IN	design files present	eagle	1	A Eurorack DCO module based on the DCO core of the Roland Juno 106
polykit/pico-dco	IN	design files present	kicad	1	Polyphonic Digitally Controlled Oscillator (DCO) controlled by Raspberry Pi Pico PIO
polykit/eurorack-psu	IN	design files present	kicad	1	Eurorack Power Supply +12V -12V +5V
breakfastelectroacoustics/basic-eurorack-power-supply	IN	design files present	kicad	1	Basic Eurorack Power Supply
